,SOLD DATE,ADDRESS,CITY,STATE,POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY TYPE,SQUARE FOOT
114,FEB 19 2019,9243 Creemore Dr,La Crescenta,CA,91214,860000,4,2,SingleFamilyResidence,1779
115,FEB 19 2019,23219 Collins St,Woodland Hills,CA,91367,1300000,4,225,SingleFamilyResidence,2660
116,FEB 19 2019,5535 Canoga Ave #320,Woodland Hills,CA,91367,480000,2,2,SingleFamilyResidence,1020
117,FEB 19 2019,6667 Wilbur Ave #37,Reseda,CA,91335,353850,4,2,SingleFamilyResidence,1211
118,FEB 19 2019,4729 Columbus Ave,Sherman Oaks,CA,91403,1400000,4,3,SingleFamilyResidence,2640
119,FEB 18 2019,12351 Osborne St #8,Pacoima,CA,91331,275000,2,15,SingleFamilyResidence,1224
120,FEB 18 2019,11349 Sinclair Ave,Porter Ranch,CA,91326,668000,3,2,SingleFamilyResidence,1428
121,FEB 18 2019,12069 Carabella Ct,Porter Ranch,CA,91326,1096645,5,425,SingleFamilyResidence,3363
122,FEB 15 2019,7837 Mason Ave,Winnetka,CA,91306,520000,4,2,SingleFamilyResidence,1604
123,FEB 19 2019,6667 Wilbur Ave #37,Reseda,CA,91335,353850,4,2,SingleFamilyResidence,1211
124,FEB 19 2019,4729 Columbus Ave,Sherman Oaks,CA,91403,1400000,4,3,SingleFamilyResidence,2640
125,FEB 18 2019,12351 Osborne St #8,Pacoima,CA,91331,275000,2,15,SingleFamilyResidence,1224
126,FEB 18 2019,11349 Sinclair Ave,Porter Ranch,CA,91326,668000,3,2,SingleFamilyResidence,1428
127,FEB 18 2019,12069 Carabella Ct,Porter Ranch,CA,91326,1096645,5,425,SingleFamilyResidence,3363
128,FEB 15 2019,7837 Mason Ave,Winnetka,CA,91306,520000,4,2,SingleFamilyResidence,1604
129,FEB 15 2019,15946 Vanowen St #107,Van Nuys,CA,91406,240000,1,1,SingleFamilyResidence,687
